#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
72	16	4	0	68	24	-8	10094.319999999987	EnergyUnawareStrategyPlacement	0.0036199092864990234
72	32	7	0	65	42	-10	10408.479999999985	EnergyUnawareStrategyPlacement	0.004673957824707031
72	48	9	0	63	54	-6	10604.319999999983	EnergyUnawareStrategyPlacement	0.005719900131225586
72	64	14	0	58	84	-20	11121.119999999983	EnergyUnawareStrategyPlacement	0.00795888900756836
72	80	15	0	57	90	-10	11227.19999999998	EnergyUnawareStrategyPlacement	0.008984088897705078
72	96	18	0	54	108	-12	11548.15999999998	EnergyUnawareStrategyPlacement	0.0108489990234375
72	112	21	0	51	125	-13	11837.839999999982	EnergyUnawareStrategyPlacement	0.015931129455566406
72	128	23	0	49	138	-10	12044.559999999981	EnergyUnawareStrategyPlacement	0.013988971710205078
72	144	27	0	45	161	-17	12441.679999999984	EnergyUnawareStrategyPlacement	0.016222000122070312
